"GPUName","GPUPrice","GPUScore"
"Radeon PRO W6600X",NA,13113
"GeForce RTX 2080 with Max-Q Design",2099.99,13087
"Intel Arc A770",299.99,12981
"GeForce GTX TITAN X",1096.99,12940
"Radeon Pro Vega 64",NA,12920
"GeForce GTX 1660 Ti",289.99,12916
"Radeon Pro VII",NA,12838
"GeForce RTX 3050 8GB",206.99,12812
"GeForce GTX 1660 SUPER",227.99,12752
"Tesla T10",NA,12650
"Radeon Pro 5700 XT",NA,12613
"Quadro P5000",1868.99,12551
"Quadro P5200 with Max-Q Design",NA,12530
"RTX A3000 Laptop GPU",NA,12492
"Radeon Pro WX 9100",NA,12470
"Quadro RTX 4000 with Max-Q Design",NA,12365
"GeForce RTX 2070 (Mobile)",NA,12354
"Radeon Pro Vega 56",NA,12353
"Tesla V100-PCIE-16GB",NA,12328
"Quadro RTX 4000 (Mobile)",NA,12327
"Radeon RX 6850M",NA,12274
"Radeon Pro V520 MxGPU",NA,12257
"Quadro P5200",NA,12238
"Tesla P40",NA,12190
"Radeon RX 5600 OEM",NA,12137
"GeForce RTX 3050 OEM",217.82,11970
"Intel Arc A750",199.99,11945
"Quadro M6000 24GB",NA,11882
"Radeon Pro 5700",NA,11844
"Quadro M6000",4827.53,11749
"GeForce GTX 1660",261.38,11678
"GeForce RTX 2070 with Max-Q Design",NA,11668
"Intel Arc A580",179.99,11648
"Quadro P4000",556.19,11624
"Intel Arc A770M",NA,11558
"GeForce GTX 1080 with Max-Q Design",NA,11520
"L4",NA,11518
"Radeon RX 5600",NA,11489
"Quadro P4200 with Max-Q Design",NA,11446
"RTX A1000 Embedded GPU",NA,11368
"GeForce RTX 2060 (Mobile)",NA,11354
"RTX 500 Ada Generation Laptop GPU",NA,11302
"Radeon Pro Vega 48",NA,11299
"RTX A1000",NA,11242
"Quadro RTX 3000",NA,11127
"GeForce GTX 980",247.35,11101
"GRID P40-12Q",NA,11028
"Radeon Pro SSG",2410.15,10971
"RTX A2000 8GB Laptop GPU",NA,10940
"RTX A4500 Embedded GPU",NA,10916
"Tesla T4",4420.46,10744
"GeForce RTX 3050 6GB",164.99,10651
"Intel Arc A730M",NA,10487
"GeForce GTX 1070 (Mobile)",NA,10465
"Tesla M40",600,10465
"Quadro P4200",NA,10439
"Tesla M40 24GB",NA,10417
"SuperDisplay Virtual Adapter",NA,10390
"GeForce RTX 3050 6GB Laptop GPU",NA,10337
"GeForce GTX 1660 Ti (Mobile)",NA,10192
"GeForce GTX 1650 SUPER",222.06,10161
"GeForce RTX 3050 Ti Laptop GPU",NA,10141
"RTX A1000 6GB Laptop GPU",NA,10124
"GeForce GTX 1060",339.99,10073
"RTX A2000 Laptop GPU",NA,9934
"GeForce GTX 1070 with Max-Q Design",NA,9932
"GRID P40-2B",NA,9842
"GeForce GTX 1060 3GB",235.47,9763
"GeForce RTX 2060 with Max-Q Design",NA,9762
"Radeon R9 Fury + Fury X",449.99,9741
"GeForce GTX 970",237.99,9637
"Radeon RX 6550M",NA,9603
"Radeon R9 Fury",443.1,9593
"Radeon R9 Fury X",NA,9580
"Radeon RX 6500 XT",169,9567
"RTX A1000 Laptop GPU",NA,9533
"GeForce GTX 780 Ti",339.99,9526
"Radeon PRO W6600M",NA,9521
"GeForce RTX 3050 Laptop GPU",269.99,9461
"Ryzen 9 4900HSS with Radeon Graphics",NA,9460
"Quadro M5000",499,9417
"Radeon R9 390X",NA,9416
"Radeon RX 590",549.99,9389
"Quadro P3200 with Max-Q Design",NA,9368
"Quadro P2200",459.8,9324
"Intel Arc Pro A60",NA,9300
"Radeon Pro 5600M",NA,9232
"Radeon RX 5500 XT",181.29,9137
"Radeon Pro W5500",409.99,9118
"GRID P40-2B4",NA,9110
"GeForce GTX 1060 5GB",487.99,9094
"Quadro P4000 with Max-Q Design",NA,9082
"GeForce GTX TITAN Black",1335.93,8971
"GeForce GTX TITAN Z",1515,8941
"Radeon R9 390",NA,8909
"Tesla P4",NA,8880
"Radeon RX 580",179.99,8855
"Radeon RX 5600M",NA,8795
"Radeon RX 5500",NA,8792
"Quadro P3200",389.3,8775
"GRID P40-24Q",NA,8719
"Radeon RX 480",339.99,8623
"Radeon R9 290X",NA,8622
"Radeon R9 295X2",499.1,8617
"GeForce GTX 1660 Ti with Max-Q Design",NA,8606
"Radeon RX590 GME",NA,8570
"GRID RTX6000-1B",NA,8473
"Radeon R9 290X / 390X",319.99,8389
"Radeon Pro 5500 XT",NA,8375
"Ryzen 5 4600HS with Radeon Graphics",NA,8370
"Radeon R9 290",NA,8297
"Tesla V100-PCIE-32GB",NA,8259
"Quadro RTX 3000 with Max-Q Design",NA,8255
"GeForce GTX Titan",745,8189
"Radeon Pro Duo",3970.36,8164
"GeForce GTX 1060 (Mobile)",NA,8160
"Radeon R9 290 / 390",380,8150
"CMP 30HX",NA,8135
"EIZO Quadro MED-XN72",NA,8100
"Radeon PRO W6400",NA,8081
"Quadro K6000",210.66,8067
"Radeon 890M",NA,8016
"GeForce GTX 780",279.99,8005
"Ryzen 9 6900HS",NA,8005
"Radeon RX 470/570",388.99,8001
"Quadro M5500",NA,7915
"GeForce GTX 1060 with Max-Q Design",NA,7915
"Radeon RX 780",NA,7897
"GeForce GTX 1650",141,7872
"Radeon Pro WX 7100",1047.99,7869
"T1200 Laptop GPU",NA,7803
"Radeon RX 580X",NA,7798
"Radeon RX 6500M",NA,7785
"Radeon Pro 580",NA,7753
"Radeon RX 6500",NA,7723
"Radeon RX 580 2048SP",NA,7698
"GeForce RTX 2050",NA,7648
"T1000",303.99,7642
"Radeon 880M",NA,7624
"Radeon RX 6400",159,7580
"FirePro W9100",1729.99,7580
"Radeon RX 5300",NA,7579
"T1000 8GB",NA,7569
"Tesla M60",787.9,7551
"GeForce GTX 1650 Ti",NA,7540
"Radeon Pro 580X",NA,7540
"GRID P40-8Q",NA,7432
"Ryzen 9 4900HS with Radeon Graphics",NA,7418
"GeForce GTX 980M",289.99,7355
"Radeon Pro W5500X",NA,7350
"FirePro W8100",704,7332
"Tesla P100-PCIE-16GB",5699,7225
"Radeon Ryzen 9 6900HS",NA,7183
"Quadro T2000",528.35,7175
"Radeon Pro 5300",NA,7143
"RadeonT 780M",NA,7102
"T600 Laptop GPU",NA,7080
"Radeon 780M",NA,7052
"A10-8Q",NA,7041
"Quadro M5000M",546.92,7019
"Ryzen 7 4800HS with Radeon Graphics",NA,6999
"AMD Ryzen Z1 Extreme",NA,6988
"GeForce GTX 1650 (Mobile)",NA,6968
"Quadro P2000",439.6,6927
"Quadro T2000 with Max-Q Design",NA,6925
"GRID P4-4Q",NA,6843
"CMP 40HX",NA,6778
"Radeon Pro 5500M",NA,6771
"RTX A500 Laptop GPU",NA,6768
"GeForce RTX 3050 4GB Laptop GPU",NA,6757
"GRID P4-8Q",NA,6733
"Quadro T1000 with Max-Q Design",NA,6719
"Radeon Pro WX 7130",NA,6715
"GeForce GTX 970XM FORCE",NA,6706
"Radeon R9 285",NA,6680
"Ryzen 7 6800HS with Radeon Graphics",NA,6677
"Quadro M4000",362,6672
"Radeon RX Vega M GH",NA,6584
"Intel Arc A530M",NA,6565
"Quadro P3000",NA,6520
"T600",239.99,6463
"Quadro T1000",369.99,6457
"P106-100",NA,6408
"GeForce GTX 1650 Ti with Max-Q Design",NA,6404
"Radeon Pro 570",NA,6336
"GeForce GTX 1050 Ti",437.53,6314
"Radeon 660M Ryzen 5 6600H",NA,6285
"Tesla M6",199,6284
"Intel Arc A380",119.99,6219
"Radeon R9 380X",349.99,6187
"Radeon Ryzen 7 6800HS",NA,6180
"Radeon R9 280X",NA,6175
"GeForce GTX 1650 with Max-Q Design",NA,6169
"Radeon 680M Ryzen 7 7735HS",NA,6166
"FirePro W9000",845,6138
"Radeon R9 380",89.99,6134
"Quadro M4000M",254.91,6110
"Ryzen 9 6900HS with Radeon Graphics",NA,6097
"Quadro K5200",415,6091
"GeForce GTX 960",172,6079
"GeForce RTX 3050 A Laptop GPU",NA,6038
"Radeon Ryzen 9 6900HS Creator Edition",NA,6012
"GeForce MX570 A",NA,5993
"Radeon Ryzen 9 PRO 6950H",NA,5963
"Radeon Pro 5300M",NA,5961
"GRID P100-16Q",NA,5944
"GeForce GTX 770",249,5920
"GeForce GTX 1050 Ti (Mobile)",NA,5918
"Intel Arc Pro A30M",NA,5862
"Tesla K80",593.95,5852
"RadeonT 760M",NA,5846
"Ryzen 9 PRO 6950H with Radeon Graphics",NA,5828
"Radeon 760M",NA,5818
"Matrox LUMA A380P",NA,5805
"Radeon Ryzen 7 7736U",NA,5791
"Ryzen 9 PRO 6950H",NA,5758
"GeForce MX570",NA,5728
"GeForce GTX 970M",209.99,5724
"Radeon PRO Ryzen 7 PRO 6850U",NA,5714
"Radeon Ryzen 7 PRO 6850H",NA,5708
"Radeon TM",NA,5691
"GRID T4-8Q",NA,5680
"RadeonT 680M Ryzen 7 7735HS",NA,5650
"Quadro M3000M",159.95,5599
"Ryzen 7 PRO 6850U",NA,5580
"Ryzen 9 5900HS with Radeon Graphics",NA,5570
"Radeon HD 7990",399.99,5565
"GeForce GTX 680",399,5565
"Radeon RX 5500M",NA,5563
"Radeon Pro WX 5100",359.99,5560
"Radeon PRO W6300",NA,5559
"Radeon R9 280",NA,5557
"Radeon R9 285 / 380",485,5549
"GRID M60-8A",NA,5523
"GeForce GTX 690",280.99,5513
"Intel Arc A310",99.99,5496
"Radeon Ryzen 7 6800HS Creator Edition",NA,5460
"Intel Arc Pro",NA,5456
"Radeon Ryzen 7 6800H",NA,5442
"GeForce GTX 760 Ti OEM",NA,5427
"Radeon RX 6300",NA,5418
"Ryzen 7 6800HS Creator Edition",NA,5382
"Radeon Eng Sample: 100-000000534-40_Y",NA,5380
"GRID P40-4Q",NA,5364
"Ryzen 9 6900HX with Radeon Graphics",NA,5353
"GeForce GTX 1050 Ti with Max-Q Design",NA,5351
"GeForce GTX 950",141.99,5335
"Radeon Ryzen 7 7735HS",NA,5333
"GeForce GTX 670",193.98,5330
"Radeon Pro Vega 20",NA,5299
"Quadro P2000 with Max-Q Design",NA,5285
"FirePro W7100",389.3,5264
"Radeon HD 7970 / R9 280X",246.99,5247
"Ryzen 7 6800H",NA,5247
"GeForce GTX 760 Ti",297.5,5240
"Ryzen 7 6800HS",NA,5237
"A16",NA,5235
"Intel Arc",NA,5232
"Radeon Eng Sample: 100-000000550-40_Y",NA,5223
"Ryzen 7 7735U with Radeon Graphics",NA,5215
"Radeon HD 8990",NA,5214
"GRID M60-2Q",NA,5203
"Radeon R9 M395X",NA,5194
"Radeon Ryzen 7 7735U",NA,5193
"Radeon Ryzen 7 7735H",NA,5190
"GRID RTX8000P-4Q",NA,5174
"Q12U-1",NA,5164
"Radeon R9 M295X",1449,5150
"Radeon Ryzen 7 PRO 6850U",NA,5140
"Ryzen 7 7735HS with Radeon Graphics",NA,5127
"Ryzen 7 PRO 6850U with Radeon Graphics",NA,5115
"Intel Arc A370M",NA,5115
"GeForce GTX 1050 3GB",NA,5105
"Intel Arc 140V GPU",NA,5095
"Ryzen 7 PRO 6860Z",NA,5076
"FirePro S9000",NA,5059
"GRID T4-16Q",NA,5054
"EIZO Quadro MED-XN51LP",NA,5048
"Radeon Ryzen 7 PRO 6850HS",NA,5043
"GeForce GTX 1050",239,5036
"Radeon Eng Sample: 100-000000545-40_Y",NA,5026
"Parsec Virtual Display Adapter",NA,5022
"Ryzen 7 6800U",NA,5006
"GeForce GTX 1630",189.99,4982
"Radeon Instinct MI25 MxGPU",NA,4978
"Barco MXRT 7600",602.59,4943
"Radeon R9 M395",NA,4911
"GRID P40-1A",NA,4909
"FirePro S9050",NA,4901
"Radeon R9 270X",326.5,4871
"Ryzen 7 PRO 6860Z with Radeon Graphics",NA,4869
"GRID P40-2Q",NA,4843
"T550 Laptop GPU",NA,4834
"Ryzen 7 6800U with Radeon Graphics",NA,4829
"Radeon Eng Sample: 100-000000560-40_Y",NA,4816
"Radeon Pro Vega 16",NA,4809
"Ryzen 7 6800H with Radeon Graphics",NA,4801
"GeForce GTX 760",149,4793
"GRID RTX6000P-6Q",NA,4777
"FirePro S10000",NA,4768
"Radeon HD 7950 / R9 280",240.83,4764
"Radeon R9 370",159.99,4722
"Radeon Sky 500",NA,4709
"Ryzen 9 PRO 6950HS with Radeon Graphics",NA,4704
"GRID V100D-2Q",NA,4667
"Radeon Pro WX Vega M GL",NA,4643
"Radeon HD 7870",176,4635
"GeForce GTX 580",461.96,4602
"Radeon Ryzen 7 PRO 6860Z",NA,4594
"A16-2Q",NA,4582
"Radeon Ryzen 7 6800U",NA,4582
"B8DKMDAP",NA,4557
"GeForce MX550",NA,4541
"Radeon Pro 465",NA,4537
"FirePro S7000",246.54,4523
"Intel Arc 130V GPU",NA,4515
"Radeon R7 370",NA,4509
"Tesla K40c",NA,4494
"Intel Arc A310 LP",NA,4486
"Radeon HD 7870 XT",NA,4469
"GeForce GTX 1050 (Mobile)",NA,4461
"Quadro P1000",289.99,4459
"GRID M60-1B",NA,4456
"Tesla K20m",NA,4432
"GRID P6-4Q",NA,4429
"GeForce GTX 660 Ti",144,4428
"FirePro W7000 Adapter",NA,4359
"GRID GTX P40-6",NA,4340
"Quadro K4200",249,4324
"Radeon RX 5300M",NA,4307
"Radeon R9 270",NA,4306
"Radeon Ryzen 7 Pro 7735U",NA,4296
"FirePro W7000",278.05,4288
"GRID RTX6000P-4Q",NA,4283
"Quadro M2200",249.99,4261
"Radeon R9 270 / R7 370",213.16,4259
"Radeon Ryzen 9 PRO 6950HS",NA,4250
"RTXA6000-8Q",NA,4236
"NVIDIA A40-4Q",NA,4229
"NVIDIA A40-8Q",NA,4220
"A16-4Q",NA,4165
"GRID RTX8000P-12A",NA,4165
"GRID V100D-8Q",NA,4155
"FirePro W8000",573,4148
"GeForce GTX 680MX",NA,4138
"Winsta0\\Default",NA,4124
"GeForce GTX 480",169.99,4106
"Radeon RX 460",166.81,4101
"GeForce GTX 1050 with Max-Q Design",NA,4073
"Radeon PRO Ryzen 5 PRO 6650U",NA,4066
"RadeonT 660M Ryzen 5 7535HS",NA,4051
"Radeon Eng Sample: 100-000000561-40_Y",NA,4041
"Radeon HD 7800-serie",NA,4029
"Radeon Ryzen 9 7950X 16-Core",NA,4017
"GeForce GTX 660",167.95,4001
"Quadro K5000",249,3992
"Quadro M2000",264.24,3992
"GRID RTX8000-4Q",NA,3960
"Radeon RX 7600M",NA,3940
"GRID P6-2Q",NA,3925
"GeForce GTX 570",149.99,3924
"GeForce GTX 750 Ti",88.11,3900
"GRID M60-8Q",NA,3883
"Radeon HD 8970M",139.99,3876
"Matrox LUMA A310F",NA,3873
"Radeon HD 7850",174.99,3864
"GeForce GTX 780M",499,3854
"GRID RTX8000P-2Q",NA,3843
"EIZO MED-XN43",NA,3842
"Radeon Eng Sample: 100-000000562-40_Y",NA,3841
"GRID M60-4Q",NA,3831
"GeForce GTX 880M",NA,3817
"GRID V100-2Q",NA,3810
"GeForce GTX 965M",NA,3793
"Radeon RX Vega M GL",NA,3764
"T400 4GB",NA,3760
"Radeon Ryzen 5 6600HS Creator Edition",NA,3754
"Barco MXRT 7500",299,3753
"Ryzen 7 PRO 6850HS with Radeon Graphics",NA,3736
"GeForce MX450",NA,3735
"Ryzen 5 PRO 6650H with Radeon Graphics",NA,3726
"Radeon Ryzen 5 PRO 6650H",NA,3724
"Radeon 660M Ryzen 5 7535HS",NA,3705
"Radeon Ryzen 5 6600H",NA,3695
"GRID M60-1Q",NA,3694
"P104-100",299.99,3694
"Eng Sample: 100-000000545-40_Y",NA,3692
"Matrox LUMA A310",NA,3690
"Ryzen 5 7535HS with Radeon Graphics",NA,3680
"Radeon Pro 560X",NA,3677
"Radeon Ryzen 5 PRO 6650U",NA,3676
"Ryzen 5 6600HS Creator Edition",NA,3671
"T500",NA,3670
"Radeon R9 M485X",NA,3660
"Radeon RX 560",179.9,3645
"Radeon Pro WX 4100",499.99,3641
"Quadro P620",574.55,3636
"GeForce GTX 775M",NA,3634
"T400",131.74,3624
"Radeon Ryzen 7 4800HS",NA,3597
"Radeon R9 M390X",NA,3597
"GRID RTX8000-2Q",NA,3574
"GeForce GTX 680M KY_Bullet Edition",NA,3568
"GRID M6-8Q",NA,3568
"RTX A400",NA,3564
"Radeon HD 7970M",NA,3559
"Quadro K2200",268.3,3553
"Microsoft Basic Display Adapter Ryzen 5 3550H",NA,3536
"Radeon Ryzen 5 7535HS",NA,3531
"Ryzen 5 7535U with Radeon Graphics",NA,3529
"Ryzen 5 6600H with Radeon Graphics",NA,3525
"Ryzen 5 PRO 6650U",NA,3519
"GRID K520",149.99,3516
"Ryzen 5 PRO 6650U with Radeon Graphics",NA,3515
"Quadro 7000",NA,3505
"Radeon Ryzen 7 4800H",NA,3490
"Radeon Eng Sample: 100-000000261-50_Y",NA,3490
"Radeon Pro 560",NA,3475
"Quadro K2200M",124.95,3468
"Quadro M2000M",213.16,3459
"Radeon Pro 460",NA,3452
"GRID T4-2Q",NA,3450
"GeForce GTX 870M",NA,3449
"Tesla C2050 / C2070",NA,3428
"NVIDIA A10-4Q",NA,3424
"Custom GPU 0932",NA,3395
"Radeon Ryzen 5 6600U",NA,3381
"GeForce GTX 960M",1169,3377
"NVIDIA A40-12Q",NA,3370
"Radeon HD8970M",NA,3368
"Radeon E8870PCIe",NA,3368
"GeForce GTX 960A",NA,3355
