"CPUName","CPUPrice","CPUScore"
"Intel Xeon Gold 6130T @ 2.10GHz",2550,21804
"AMD Ryzen 7 6800HS Creator Edition",NA,21763
"AMD Ryzen 5 8500G",149,21744
"AMD Ryzen 9 6900HS Creator Edition",NA,21737
"Apple M2 Pro 10 Core 3480 MHz",NA,21720
"AMD Ryzen 9 5900HS",NA,21660
"Intel Xeon Gold 5218 @ 2.30GHz",376.66,21651
"AMD EPYC 7281",327,21621
"Intel Xeon E7-8891 v3 @ 2.80GHz",6841,21615
"Intel Xeon E5-2697A v4 @ 2.60GHz",NA,21603
"AMD Ryzen 5 5600",99.89,21575
"Intel Xeon Gold 6334 @ 3.60GHz",1842.45,21521
"Intel Core i5-13500TE",235,21478
"Intel Core i9-10910 @ 3.60GHz",NA,21476
"Intel Xeon Gold 5218T @ 2.10GHz",1349,21433
"Intel Core i7-12700T",339,21338
"AMD Ryzen 9 5980HS",NA,21318
"AMD Ryzen 5 PRO 7640U",NA,21287
"Intel Core i5-12600",271.99,21274
"AMD Ryzen 5 7640U",NA,21232
"AMD Ryzen 7 7735U",NA,21184
"Intel Core i9-11950H @ 2.60GHz",556,21171
"AMD Ryzen 7 5800HS Creator Edition",NA,21166
"Intel Xeon E-2378G @ 2.80GHz",599,21153
"Intel Xeon W-2155 @ 3.30GHz",1530.39,21070
"Intel Core i5-12500H",311,21070
"Intel Core i9-7900X @ 3.30GHz",325,21065
"AMD Ryzen 5 8500GE",NA,21042
"AMD Ryzen 7 5800H",NA,21015
"Intel Core i7-7900X @ 3.30GHz",NA,21008
"Intel Core i7-11700F @ 2.50GHz",249.99,20996
"Intel Xeon Gold 6136 @ 3.00GHz",1029.95,20977
"Intel Xeon Silver 4310T @ 2.30GHz",768.64,20973
"AMD Ryzen 5 8640U",NA,20971
"Intel Xeon E5-2697 v4 @ 2.30GHz",1277.9,20936
"Intel Xeon Gold 6250 @ 3.90GHz",3620,20915
"AMD Ryzen 7 PRO 6860Z",NA,20863
"Intel Xeon E5-2697R v4 @ 2.30GHz",NA,20843
"Intel Xeon Gold 5315Y @ 3.20GHz",1375.86,20820
"AMD Ryzen 7 PRO 6850U",NA,20799
"AMD Ryzen 5 PRO 5650G",NA,20781
"AMD EPYC 7262",417.8,20779
"Intel Core i5-12600HL",311,20739
"Intel Core i5-12500E",225,20699
"Intel Xeon Gold 6138T @ 2.00GHz",4999,20649
"Intel Xeon Gold 6130 @ 2.10GHz",69,20647
"Intel Xeon E5-2673 v4 @ 2.30GHz",89,20631
"Intel Xeon D-2753NT @ 2.00GHz",NA,20626
"Intel Xeon Silver 4216 @ 2.10GHz",729.95,20613
"Intel Core i7-12650HX",472,20612
"AMD Ryzen 7 6800U",NA,20596
"Intel Core i9-11900H @ 2.50GHz",546,20560
"AMD Ryzen 9 5900H",NA,20557
"AMD EPYC 8024P",NA,20556
"Intel Xeon W-2150B @ 3.00GHz",NA,20529
"Intel Core i5-13400T",221,20489
"Intel Core i7-11850H @ 2.50GHz",395,20475
"AMD Ryzen 7 PRO 4750G",301.4,20450
"Intel Core i7-11800H @ 2.30GHz",395,20434
"Intel Xeon Gold 6226 @ 2.70GHz",885.86,20429
"Intel Core i7-1280P",482,20418
"Intel Xeon E5-2686 v4 @ 2.30GHz",NA,20415
"Intel Xeon E5-2699 v3 @ 2.30GHz",529.95,20366
"Intel Core i5-12490F",119.98,20337
"AMD Ryzen 5 5600GT",120,20322
"Intel Xeon E5-4667 v4 @ 2.20GHz",5729,20319
"Intel Xeon D-1747NTE @ 2.50GHz",1201,20279
"ARM Neoverse-N1 64 Core 2200 MHz",NA,20250
"AMD Ryzen 5 5500GT",115,20241
"AMD Ryzen Embedded V3C48",NA,20203
"Intel Core i9-9820X @ 3.30GHz",449.97,20195
"Intel Core i5-1250P",NA,20144
"Intel Core i7-1370P",NA,20143
"AMD Ryzen 7 4700G",235.12,20138
"Intel Xeon W-1290 @ 3.20GHz",588.67,20071
"AMD Ryzen 7 5800HS",NA,20066
"Intel Core i5-1340PE",315,20041
"Intel Xeon Gold 6144 @ 3.50GHz",765.34,19993
"Intel CoreT i5-1350P",NA,19976
"Intel Core i9-10900F @ 2.80GHz",222.99,19948
"Intel Core i5-12500",202,19907
"AMD Ryzen 5 5600G",138.99,19875
"Intel Core i9-10900 @ 2.80GHz",398.97,19835
"AMD Ryzen 7 4700GE",NA,19831
"AMD Ryzen 7 PRO 4700G",NA,19786
"Intel Xeon W-1350P @ 4.00GHz",372.23,19710
"Intel Core i7-11700 @ 2.50GHz",289,19689
"AMD Ryzen 7 Pro 7735U",NA,19656
"Intel Core i5-11600KF @ 3.90GHz",138.62,19620
"Intel Xeon E-2386G @ 3.50GHz",579.88,19613
"AMD Ryzen 5 8640HS",NA,19608
"Intel Core i5-11600K @ 3.90GHz",150,19589
"Intel Xeon W-11865MRE @ 2.60GHz",480,19589
"Intel Core Ultra 7 258V",NA,19539
"AMD EPYC 3451",NA,19532
"Intel Core i5-12400F",108.99,19527
"Intel Core Ultra 5 226V",NA,19520
"Intel Xeon E5-2690 v4 @ 2.60GHz",59.99,19476
"Intel Xeon W-2245 @ 3.90GHz",702.61,19475
"Intel Core i9-9900KS @ 4.00GHz",399.99,19473
"Intel Core i9-10900E @ 2.80GHz",444,19469
"AMD EPYC 7252",375.42,19411
"AMD Ryzen 5 5500",84.08,19396
"Intel Xeon D-2183IT @ 2.20GHz",1764,19377
"Intel Xeon Gold 6137 @ 3.90GHz",NA,19365
"Intel Core i5-12400",192,19362
"Intel Core Ultra 9 288V",NA,19288
"Apple M3 8 Core",NA,19213
"Intel Xeon Gold 6126 @ 2.60GHz",180,19189
"AMD Ryzen 9 4900H",NA,19150
"Intel Core i7-1360P",480,19104
"Intel Xeon D-2752TER @ 1.80GHz",1104,19102
"Intel Xeon Silver 4309Y @ 2.80GHz",395.42,19100
"AMD Ryzen 7 PRO 7730U",NA,19056
"Intel Xeon E5-2682 v4 @ 2.50GHz",NA,19051
"Intel Xeon W-1350 @ 3.30GHz",335.99,19007
"Intel Xeon Gold 6244 @ 3.60GHz",2970,18980
"Intel Xeon E5-2676 v4 @ 2.40GHz",NA,18978
"AMD Ryzen 9 4900HS",NA,18975
"Intel Xeon E5-2695 v4 @ 2.10GHz",462.45,18958
"Intel Core i9-11900T @ 1.50GHz",439,18948
"AMD Ryzen 5 PRO 6650H",NA,18928
"Intel Core i7-11850HE @ 2.60GHz",440,18899
"Intel Xeon E5-2698 v3 @ 2.30GHz",8790,18872
"Intel Core i5-1350P",320,18833
"Hygon C86 7255 16-core",NA,18831
"ARM Neoverse-N1 80 Core 2600 MHz",NA,18823
"Intel Xeon W-1290E @ 3.50GHz",500,18786
"Intel Core i7-10700K @ 3.80GHz",245,18779
"AMD Ryzen Z1",NA,18778
"Intel Core i5-1340P",353,18765
"Intel Core i5-12450HX",NA,18751
"AMD Ryzen 5 PRO 5655GE",NA,18734
"AMD Ryzen 5 6600H",NA,18692
"AMD Ryzen 5 7540U",NA,18685
"AMD Ryzen 5 5600GE",NA,18667
"Intel Xeon w3-2425",529,18655
"AMD Ryzen 5 3600XT",699.99,18641
"AMD EPYC 4124P",NA,18637
"Intel Xeon W-1270E @ 3.40GHz",367,18635
"AMD Ryzen 7 7730U",NA,18626
"Intel Core i7-10700KF @ 3.80GHz",211.95,18578
"Intel Xeon E5-2697 v3 @ 2.60GHz",73.99,18574
"AMD Ryzen 5 PRO 8540U",NA,18532
"Intel Xeon E-2356G @ 3.20GHz",333,18521
"AMD Ryzen 7 4800H",NA,18501
"Intel Core i5-13420H",342,18484
"AMD Ryzen 7 PRO 4750GE",NA,18444
"AMD Ryzen 5 8540U",NA,18433
"AMD Ryzen 5 7535HS",NA,18417
"Intel Xeon W-1290T @ 1.90GHz",494,18409
"AMD Ryzen 5 PRO 5650GE",NA,18396
"AMD Ryzen 7 5800U",NA,18394
"AMD Ryzen 7 5825U",NA,18347
"AMD Ryzen 5 6600HS Creator Edition",NA,18346
"AMD Ryzen 7 4800HS",NA,18345
"Intel Xeon Silver 4214R @ 2.40GHz",544.33,18275
"Intel Core i9-9900KF @ 3.60GHz",288,18266
"Intel Core i9-9900K @ 3.60GHz",310,18263
"Intel Xeon E7-8880 v3 @ 2.30GHz",133,18244
"AMD Ryzen 5 3600X",76.32,18193
"Intel Xeon W-2145 @ 3.70GHz",1224.67,18178
"Intel Xeon W-11855M @ 3.20GHz",450,18160
"Intel Xeon E5-2686 v3 @ 2.00GHz",NA,18148
"Intel Xeon Gold 5120T @ 2.20GHz",1727,18127
"Intel Xeon Gold 5120 @ 2.20GHz",1561,18111
"Intel Core i7-9800X @ 3.80GHz",298.59,18091
"AMD Ryzen 5 PRO 7540U",NA,18071
"Intel Xeon D-2187NT @ 2.00GHz",1989,18070
"Intel Core i5-11600 @ 2.80GHz",140,18041
"Intel Core i7-1270PE",441,17960
"Intel Xeon E5-2666 v4 @ 2.80GHz",NA,17958
"Intel Xeon W-3225 @ 3.70GHz",1319,17874
"AMD 4700S",NA,17860
"Intel Xeon D-1736NT @ 2.70GHz",NA,17826
"Intel Xeon E5-2687W v4 @ 3.00GHz",719.45,17755
"Intel Xeon Gold 6234 @ 3.30GHz",1093.62,17752
"AMD Ryzen 5 3600",79.99,17748
"Intel Xeon E5-2680 v4 @ 2.40GHz",19.99,17745
"Intel Core i5-1250PE",355,17738
"AMD EPYC 7232P",344.95,17731
"AMD Ryzen 5 Pro 7535U",NA,17701
"Intel Xeon E5-2683 v4 @ 2.10GHz",329.95,17679
"Intel Core Ultra 5 125U",363,17645
"Intel Xeon W-1270 @ 3.40GHz",362,17641
"Intel Core i5-12600T",NA,17599
"Intel Core Ultra 5 135U",NA,17589
"Intel Core Ultra 7 165U",NA,17541
"AMD Ryzen 7 2700X",184,17518
"Intel Xeon E5-2680R v4 @ 2.40GHz",NA,17487
"Intel Xeon W-11555MRE @ 2.60GHz",326,17484
"Intel Xeon E-2378 @ 2.60GHz",466.4,17472
"AMD Ryzen 7 4980U Microsoft Surface Edition",NA,17469
"Intel Core i7-1270P",NA,17463
"Intel Xeon E-2288G @ 3.70GHz",539,17444
"Intel Core i5-11500B @ 3.30GHz",NA,17437
"Intel Xeon E5-4669 v3 @ 2.10GHz",5400,17430
"AMD Ryzen 5 PRO 3600",NA,17396
"Intel Core i7-6950X @ 3.00GHz",238.62,17388
"Intel Core i5-11500 @ 2.70GHz",158.57,17339
"Intel Xeon W-2140B @ 3.20GHz",NA,17330
"Intel Atom P5362",708,17276
"Apple M1 Pro 8 Core 3200 MHz",NA,17189
"Intel Core i7-12700TE",344,17189
"Intel Core i7-7820X @ 3.60GHz",89.99,17168
"AMD Ryzen 5 4400G",NA,17160
"Intel Core i5-1240P",619,17115
"Intel Xeon W-1270P @ 3.80GHz",379,17113
"AMD Ryzen 7 4850U Mobile",NA,17110
"Intel Xeon E-2278G @ 3.40GHz",494,17082
"AMD Ryzen 5 7535U",NA,17066
"AMD Ryzen Embedded V3C18I",NA,17053
"Intel Xeon E5-2689 v4 @ 3.10GHz",NA,17049
"Intel Core i5-11400F @ 2.60GHz",105.99,17029
"Intel Xeon W-3223 @ 3.50GHz",820.55,17026
"Intel Core i7-1260P",NA,17023
"Intel Core i5-11400 @ 2.60GHz",126.99,17011
"AMD Ryzen 5 5600H",NA,16988
"Intel Core i5-12450H",311,16976
"AMD Ryzen 7 PRO 2700X",NA,16971
"AMD Ryzen 7 PRO 5850U",NA,16951
"Intel Xeon E5-2695 v3 @ 2.30GHz",339.95,16910
"AMD Ryzen 7 Extreme Edition",NA,16903
"Intel Core Ultra 7 155U",490,16818
"AMD Ryzen Threadripper 1900X",140,16809
"Intel Core 5 120U",340,16747
"Intel Xeon E-2336 @ 2.90GHz",362.99,16731
"AMD Ryzen 5 PRO 6650U",NA,16727
"AMD Ryzen Embedded V2748",NA,16706
"AMD Ryzen 7 4800U",NA,16689
"Intel Core i7-11600H @ 2.90GHz",395,16685
"Intel Core i9-9900B @ 3.10GHz",NA,16660
"Intel Xeon Gold 5118 @ 2.30GHz",448.95,16627
"Intel Core i7-10700E @ 2.90GHz",330,16599
"Intel Xeon Gold 6134 @ 3.20GHz",498.95,16591
"Intel Core i5-12500T",202,16554
"Intel Xeon E E-2434",281,16552
"AMD Ryzen 5 6600U",NA,16545
"Intel Core i9-9900 @ 3.10GHz",399,16494
"Intel Xeon E7-4809 v2 @ 1.90GHz",NA,16471
"Intel Xeon Silver 4214Y @ 2.20GHz",750,16442
"Intel Core i7-10700F @ 2.90GHz",208.97,16413
"AMD Ryzen 5 PRO 4400G",NA,16413
"Intel Core i7-10700 @ 2.90GHz",239.99,16391
"Intel Xeon E-2278GE @ 3.30GHz",494,16379
"AMD Ryzen 5 PRO 4655G",NA,16355
"AMD Ryzen 7 1800X",89.99,16354
"Intel Xeon E5-2690 v3 @ 2.60GHz",9.99,16330
"Intel Xeon E5-2698B v3 @ 2.00GHz",NA,16287
"Intel Core i9-10900TE @ 1.80GHz",444,16251
"AMD Ryzen Embedded V2546",NA,16236
"Intel Core i5-12400T",149.99,16215
"Intel Xeon D-2733NT @ 2.10GHz",800,16206
"Intel Xeon Silver 4214 @ 2.20GHz",288.68,16190
"AMD Ryzen 5 PRO 4650G",109.99,16164
"Intel Core i3-1220PE",295,16146
"AMD Ryzen 5 4500",69.99,16121
"Intel Xeon E5-2669 v3 @ 2.30GHz",NA,16107
"Intel Core i5-11500H @ 2.90GHz",250,16091
"AMD Ryzen 7 PRO 5875U",NA,16078
"AMD Ryzen Embedded V2718",NA,16075
"AMD Ryzen 5 4600G",103.98,16065
"Intel Core 7 150U",NA,16061
"AMD Ryzen 5 7530U",NA,16051
"Intel Xeon W-11865MLE @ 1.50GHz",467,15958
"Intel Xeon E5-4650 v4 @ 2.20GHz",98,15883
"Intel Xeon E5-2660 v4 @ 2.00GHz",49,15873
"AMD Ryzen 7 5700U",NA,15837
"Intel Core i9-13900TE",554,15819
"Intel Xeon Gold 5117 @ 2.00GHz",NA,15816
"AMD Ryzen 5 4600GE",NA,15816
"AMD Ryzen 5 7430U",NA,15789
"Intel Core i5-11260H @ 2.60GHz",250,15753
"Intel Xeon W-10885M @ 2.40GHz",623,15746
"AMD Ryzen 7 2700",85.78,15700
"AMD Ryzen 7 1700X",79.8,15669
"Intel Core i5-11400H @ 2.70GHz",250,15629
"Intel Xeon Gold 5215 @ 2.50GHz",740.63,15624
"AMD Ryzen 5 PRO 4650GE",NA,15595
"AMD Ryzen 7 PRO 1700X",NA,15579
"Apple M2 8 Core 3500 MHz",NA,15536
"Intel Xeon D-1726 @ 2.90GHz",490,15511
"Intel Core i7-11700T @ 1.40GHz",323,15457
"AMD Ryzen 5 5600U",NA,15431
"Intel Xeon Gold 5217 @ 3.00GHz",1474.74,15429
"Intel Core i9-10980HK @ 2.40GHz",583,15425
"Intel Xeon E5-4667 v3 @ 2.00GHz",5729,15397
"Intel Xeon E5-4660 v4 @ 2.20GHz",3609,15375
"AMD Ryzen 7 PRO 2700",NA,15300
"Intel Core i3-14100F",90.48,15278
"Intel Xeon w3-2423",NA,15275
"AMD Ryzen 7 PRO 4750U",NA,15187
"Intel Xeon Silver 4116T @ 2.10GHz",1112,15187
"Intel Xeon E5-2680 v3 @ 2.50GHz",35.99,15166
"AMD Ryzen 5 5560U",NA,15157
"Intel Core i5-1345U",309,15120
"Intel Xeon Silver 4210R @ 2.40GHz",487,15118
"Intel Xeon E-2286M @ 2.40GHz",1373.18,15110
"Intel Core Ultra 7 164U",NA,15106
"Intel Xeon D-2166NT @ 2.00GHz",1005,15105
"AMD Ryzen 5 PRO 7530U",NA,15088
"Intel Core 3 100U",NA,15069
"Intel Core i3-14100",127,15050
"Intel Xeon Silver 4215R @ 3.20GHz",795,15004
"AMD EPYC 7301",1490,14991
"AMD EPYC 7251",247,14935
"AMD Ryzen 5 PRO 5650U",NA,14918
"AMD Ryzen 5 5625U",NA,14899
"Intel Xeon E5-2658A v3 @ 2.20GHz",1832,14879
"Intel Core i7-10875H @ 2.30GHz",450,14861
"Intel Xeon D-1733NT @ 2.00GHz",720,14849
"Intel Core i7-1365U",426,14826
"Intel Core i9-10885H @ 2.40GHz",556,14824
"Intel Core i9-10900T @ 1.90GHz",349.99,14822
"Intel Core i7-1355U",469,14822
"Intel Xeon E5-1681 v3 @ 2.90GHz",NA,14820
"AMD Ryzen 7 1700",68.99,14813
"AMD Ryzen 5 PRO 4400GE",NA,14795
"AMD Ryzen 3 PRO 8300GE",NA,14753
"Intel Core i5-1335U",340,14740
"Intel Xeon E5-2678 v3 @ 2.50GHz",106.19,14712
"AMD Ryzen 7 PRO 1700",NA,14693
"Intel Core i5-11600T @ 1.70GHz",213,14679
"Intel Xeon Gold 5115 @ 2.40GHz",368.91,14677
"Montage Jintide C4215R",NA,14672
"Intel Xeon Silver 4116 @ 2.10GHz",76,14660
"AMD Ryzen 7 2700E",NA,14657
"Intel Core i9-10880H @ 2.30GHz",NA,14642
"AMD Ryzen 5 PRO 5675U",NA,14629
"Intel Xeon E5-2683 v3 @ 2.00GHz",60,14623
"Intel Core i3-13100F",79.99,14621
"Intel Xeon E5-2687W v3 @ 3.10GHz",24.99,14615
"AMD Ryzen 3 PRO 8300G",NA,14572
"Intel CC150 @ 3.50GHz",NA,14557
"Intel Core i3-12300",143,14540
"Intel Core i5-12500TE",205,14536
"Intel Core i3-1220P",281,14524
"Intel Core i7-6900K @ 3.20GHz",120,14470
"Intel Core i7-9700K @ 3.60GHz",185,14459
"Intel Xeon Silver 4215 @ 2.50GHz",640,14439
"Intel Xeon W-2135 @ 3.70GHz",1007.7,14438
"AMD Ryzen 5 PRO 4655GE",NA,14436
"Intel Xeon E5-2658 v4 @ 2.30GHz",24.99,14434
"AMD Ryzen 5 4600H",NA,14425
"Intel Core i7-10870H @ 2.20GHz",417,14418
"Intel Xeon Silver 4123 @ 3.00GHz",NA,14405
"Intel Xeon W-2235 @ 3.80GHz",666.99,14369
"Intel Xeon W-1250P @ 4.10GHz",321.5,14353
"Intel Core i5-10600K @ 4.10GHz",136.24,14300
"Intel Xeon E5-2697 v2 @ 2.70GHz",193.44,14274
"Intel Xeon E5-2666 v3 @ 2.90GHz",NA,14269
"Intel Core i7-8086K @ 4.00GHz",258.49,14269
"Intel Core i7-9700KF @ 3.60GHz",169.99,14264
"Intel Xeon E5-4660 v3 @ 2.10GHz",4800,14256
"Intel Xeon D-1732TE @ 1.90GHz",759,14254
"Intel Core i3-12100E",138,14250
"AMD Ryzen 5 4600HS",NA,14230
"Intel Core i5-10600KF @ 4.10GHz",100,14228
"Intel Xeon E5-2673 v3 @ 2.40GHz",700,14219
"Intel Xeon E5-1680 v4 @ 3.40GHz",1498.95,14211
"Apple M1 8 Core 3200 MHz",NA,14158
"Intel Core i7-1260U",NA,14127
"Intel Core i9-9980HK @ 2.40GHz",583,14110
"Intel Core i3-12100F",74.99,14108
"Intel Core i7-1370PRE",477,14103
"Intel Xeon E5-2696 v2 @ 2.50GHz",NA,14096
"Intel Xeon E-2286G @ 4.00GHz",1253,14020
"Intel Xeon E-2236 @ 3.40GHz",431,14012
"Intel Xeon E-2276G @ 3.80GHz",460.29,13946
"AMD EPYC 3251",315,13912
"AMD Ryzen 5 2600X",74,13907
"AMD Ryzen 3 8300GE",NA,13846
"AMD Ryzen 3 PRO 5350G",NA,13841
"Intel Xeon E5-2667 v4 @ 3.20GHz",449.95,13821
"Intel Xeon E-2186G @ 3.80GHz",429.99,13817
"Intel Core i7-1265U",426,13802
"Intel Core i3-14100T",134,13727
"Intel Core i5-10600 @ 3.30GHz",125.95,13690
"Intel Core i9-9880H @ 2.30GHz",556,13685
"Intel Xeon E-2246G @ 3.60GHz",311,13676
"Intel Core i5-11400T @ 1.30GHz",182,13632
"Intel Core i7-8700K @ 3.70GHz",163,13624
"Intel Xeon E5-1660 v4 @ 3.20GHz",352.36,13619
"Intel Xeon W-1250 @ 3.30GHz",333.48,13610
"Intel Xeon E-2374G @ 3.70GHz",419.43,13607
"Intel Xeon E-2176G @ 3.70GHz",479.99,13598
"Intel Core i3-12100",122,13598
"Intel Core i7-1255U",426,13589
"Virtual @ 3.24GHz",NA,13577
"Intel Xeon E5-2670 v3 @ 2.30GHz",23.99,13576
"Intel Xeon E5-2650 v4 @ 2.20GHz",29.99,13568
"Intel Xeon D-1587 @ 1.70GHz",NA,13566
"Intel Xeon W-1270TE @ 2.00GHz",367,13553
"Intel Xeon E5-2676 v3 @ 2.40GHz",NA,13524
"Intel Xeon Silver 4210 @ 2.20GHz",286.24,13520
"Intel Xeon E5-2658 v3 @ 2.20GHz",NA,13487
"Intel Xeon E5-2690 v2 @ 3.00GHz",73.99,13483
"AMD Ryzen 5 4600U",NA,13470
"Intel Xeon E-2136 @ 3.30GHz",352.99,13460
"AMD Ryzen 5 PRO 2600",NA,13444
"Intel Core i5-10500 @ 3.10GHz",200.43,13438
"Intel Core i3-13100",117.65,13424
"Intel Core i5-1235U",309,13388
"Intel Core i5-1245U",309,13387
"AMD Ryzen 7 4700U",NA,13371
"Intel Xeon E5-2695 v2 @ 2.40GHz",69,13299
"Intel Xeon D-1581 @ 1.80GHz",NA,13282
"Intel Core i7-9700F @ 3.00GHz",169.99,13254
"Intel Xeon E-2146G @ 3.50GHz",495.64,13253
"Intel Core i7-9700 @ 3.00GHz",169.9,13233
"Intel Core i5-1334U",340,13229
"AMD Ryzen 5 2600",59.93,13191
"Intel Xeon E5-2675 v3 @ 1.80GHz",NA,13180
"AMD Ryzen 5 3500X",66.99,13165
"Intel Xeon Silver 4114 @ 2.20GHz",20.99,13161
"Intel Xeon E5-2660 v3 @ 2.60GHz",189.95,13120
"Intel Core i3-13100T",134,13099
"Intel Xeon E5-1680 v3 @ 3.20GHz",589.99,13090
"Intel Core i3-12300T",157,13077
"AMD Ryzen 3 5300GE",NA,13074
"AMD Ryzen 5 1600X",68.4,13057
"Intel Core i9-9900T @ 2.10GHz",439,13052
"Intel Core i5-11500T @ 1.50GHz",192,13032
"AMD Ryzen Embedded V2516",NA,13016
"AMD Ryzen 5 5500U",NA,13015
"Intel Xeon E-2334 @ 3.40GHz",319.99,13011
"AMD Ryzen 3 7440U",NA,12991
"Intel Xeon E5-4627 v4 @ 2.60GHz",999.99,12969
"Intel Core i7-10700TE @ 2.00GHz",330,12969
"Apple A18 Pro",NA,12965
"Apple A18",NA,12956
"Intel Xeon E5-2685 v3 @ 2.60GHz",NA,12944
"AMD Ryzen 3 5300G",NA,12902
"Intel Xeon Gold 6128 @ 3.40GHz",294,12881
"Intel Core i7-7800X @ 3.50GHz",219,12852
"Intel Core i7-8700 @ 3.20GHz",147,12837
"Intel Core i7-10700T @ 2.00GHz",214.99,12823
"AMD Ryzen 3 8440U",NA,12805
"AMD Ryzen 5 3500",85.98,12785
"Intel Core i7-5960X @ 3.00GHz",209,12744
"Intel Xeon E5-2650L v4 @ 1.70GHz",229.95,12719
"Intel Xeon W-2133 @ 3.60GHz",617,12658
"Intel Xeon E5-2667 v3 @ 3.20GHz",998.94,12656
"Intel Core i5-1240U",NA,12652
"AMD Ryzen 5 PRO 4650U",NA,12644
"Intel Xeon E5-2680 v2 @ 2.80GHz",129.95,12641
"AMD Ryzen 3 3300X",79.99,12631
"Intel Xeon W-10855M @ 2.80GHz",450,12624
"Intel Core i3-12100T",122,12622
"Intel Xeon E5-1680 v2 @ 3.00GHz",NA,12618
"AMD Ryzen 3 PRO 5350GE",NA,12597
"Intel Core i7-9700E @ 2.60GHz",323,12595
"Intel Xeon W-11555MLE @ 1.90GHz",348,12591
"Virtual @ 3.80GHz",NA,12575
"Intel Xeon E5-2640 v4 @ 2.40GHz",39.9,12493
"Intel Xeon E5-1660 v3 @ 3.00GHz",52.45,12481
"Intel Xeon E5-4628L v4 @ 1.80GHz",2535,12461
"AMD Ryzen 3 PRO 7335U",NA,12440
"Intel Xeon E5-2618L v4 @ 2.20GHz",902.2,12429
"Intel Xeon E5-2649 v3 @ 2.30GHz",NA,12399
"AMD Ryzen 3 7335U",NA,12330
"Hygon C86 3350 8-core",NA,12292
"Intel Atom P5342",632,12291
"AMD Ryzen 5 1600",59.99,12279
"Intel Xeon E5-2667 v2 @ 3.30GHz",249.95,12270
"Apple A17 Pro",NA,12257
"Intel Xeon E5-2687W v2 @ 3.40GHz",429.95,12254
"AMD Ryzen 3 PRO 7330U",NA,12233
"Intel Core i3-1315U",309,12222
"Intel Xeon W-1250E @ 3.50GHz",260,12212
"Intel Xeon D-2143IT @ 2.20GHz",566,12207
"Intel Core i5-10400F @ 2.90GHz",99.47,12198
"Intel Core i5-10505 @ 3.20GHz",NA,12161
"Intel Xeon E5-2673 v2 @ 3.30GHz",NA,12128
"Intel Xeon E5-2692 v2 @ 2.20GHz",NA,12119
"Intel Xeon D-2141I @ 2.20GHz",555,12117
"AMD Ryzen 5 PRO 4500U",NA,12117
"Intel Core i5-10400 @ 2.90GHz",123.58,12114
"Intel Core Ultra 5 134U",332,12058
"Intel Xeon E-2278GEL @ 2.00GHz",494,12024
"Intel Xeon E E-2414",213,11923
"Intel Core i5-1335UE",312,11921
"Intel Xeon E5-2650L v3 @ 1.80GHz",2222,11880
"Intel Core i7-8700B @ 3.20GHz",303,11876
"Intel Core i3-12100TE",125,11859
"Intel Core i7-10750H @ 2.60GHz",NA,11850
"ARM Neoverse-N1 32 Core 1700 MHz",NA,11841
"Intel Xeon E-2276M @ 2.80GHz",450,11838
"Intel Core i7-11375H @ 3.30GHz",482,11819
"Intel Xeon E5-2650 v3 @ 2.30GHz",1889,11799
"Intel Core i7-10850H @ 2.70GHz",395,11785
"Intel Xeon E5-2663 v3 @ 2.80GHz",NA,11777
"Snapdragon 8cx Gen 3 @ 3.0 GHz",NA,11762
"ARM Neoverse-N1 80 Core 2800 MHz",NA,11755
"Intel Xeon D-2146NT @ 2.30GHz",641,11736
"Microsoft SQ3 @ 3.0 GHz",NA,11727
"Intel Core i7-11370H @ 3.30GHz",426,11690
"Intel Xeon Platinum 8481C @ 2.70GHz",NA,11681
"Intel Core i7-1250U",426,11665
"AMD Ryzen 5 5500H",NA,11665
"Intel Core i3-13100E",137,11650
"Intel Xeon D-1577 @ 1.30GHz",1176,11645
"Virtual @ 3.41GHz",NA,11638
"Intel Xeon E5-4657L v2 @ 2.40GHz",751.19,11613
"AMD Ryzen 3 3100",71.95,11598
"Intel Xeon E5-2630 v4 @ 2.20GHz",14.99,11591
"Intel Xeon E5-2648L v4 @ 1.80GHz",1384.57,11547
"Intel Xeon E5-4669 v4 @ 2.20GHz",NA,11523
"QTI SM8650",NA,11521
"AMD Ryzen 5 7235HS",NA,11478
"Hygon C86 3250 8-core",NA,11476
"Intel Core i7-6850K @ 3.60GHz",105,11463
"Intel Xeon E5-1650 v4 @ 3.60GHz",429.95,11455
"Intel Xeon E-2186M @ 2.90GHz",623,11438
"Intel Core i5-10600T @ 2.40GHz",213,11419
"AMD Ryzen 3 PRO 5475U",NA,11381
"Intel Core i3-11100B @ 3.60GHz",NA,11357
"Intel Xeon E5-2670 v2 @ 2.50GHz",16.99,11347
"Intel Xeon E5-4627 v3 @ 2.60GHz",2400,11344
"AMD Ryzen 3 5425U",NA,11329
"AMD Ryzen 3 PRO 4200G",NA,11315
"Intel Core i3-11100HE @ 2.40GHz",233,11289
"Intel Xeon Silver 4208 @ 2.10GHz",294,11247
"AMD Ryzen 5 PRO 1600",NA,11240
"Intel Core i5-10500H @ 2.50GHz",250,11230
"AMD Ryzen 3 4300GE",NA,11211
"Intel Xeon E5-2618L v3 @ 2.30GHz",1029.95,11181
"AMD EPYC 7261",6961.91,11149
"Intel Xeon E5-2643 v4 @ 3.40GHz",900.99,11134
"Intel Xeon E5-2640 v3 @ 2.60GHz",39,11121
