"CPUName","CPUPrice","CPUScore"
"AMD Ryzen 9 7900",367.95,48853
"AMD EPYC 4464P",NA,48793
"Intel Xeon Gold 6314U @ 2.30GHz",2782,48013
"AMD EPYC 7502",823.87,47983
"Intel Core i9-14900",603.71,47885
"AMD Ryzen 9 PRO 7945",NA,47830
"Intel Xeon w7-3445",1989,47476
"Intel Xeon Gold 6342 @ 2.80GHz",2399.95,47320
"Intel Core i9-13980HX",668,47212
"Intel Core i9-14900F",573.99,47158
"Intel Core i9-13900",542.76,47043
"Intel Xeon w5-2465X",1512.93,46906
"Intel Xeon Platinum 8368Q @ 2.60GHz",NA,46681
"Intel Core i7-13700KF",295,46578
"Intel Core i7-13700K",319.99,46434
"Intel Core i7-13790F",457,46309
"Intel Xeon w5-3435X",1703.43,46306
"Intel Xeon Silver 4416+",1176,46208
"AMD EPYC 73F3",2203.1,46103
"Intel Xeon Gold 6526Y",1517,46025
"AMD EPYC 7402",760.6,46012
"Intel Xeon W-3345 @ 3.00GHz",2499,45694
"Intel Core i9-14900HX",679,45662
"AMD Ryzen 9 7845HX",NA,45634
"AMD Ryzen 9 5950X",349,45602
"Intel Xeon Gold 6336Y @ 2.40GHz",1929.95,45517
"AMD EPYC 7542",479.99,45003
"AMD EPYC 7452",1429.21,44996
"AMD EPYC 8224P",NA,44990
"Intel Xeon Gold 6538N",3351,44895
"Intel Xeon Gold 5418Y",1483,44487
"AMD Ryzen 9 5900XT",319.99,44421
"Intel Core i9-13900T",549,44179
"Intel Core i9-13900HX",668,44111
"AMD EPYC 7402P",840.58,44070
"Intel Core i9-12900KS",379.59,44021
"AMD EPYC 9124",1095,43963
"Intel Core i7-14700F",318.3,43664
"Intel Core i9-13950HX",590,43502
"AMD EPYC 7343",1027.21,43368
"ARM Neoverse-N1 128 Core 3000 MHz",NA,43229
"Intel Core i7-14700",329.95,43208
"ARM Neoverse-N1 128 Core 2800 MHz",NA,43111
"Intel Xeon Gold 6330 @ 2.00GHz",1249.95,43056
"AMD EPYC 7D12",NA,43032
"AMD EPYC 9224",1950,42448
"Intel Xeon Gold 6312U @ 2.40GHz",1809.59,42124
"Intel Xeon Gold 6338N @ 2.20GHz",4671.69,42086
"Intel Xeon w5-2545",889,41688
"AMD EPYC 7313P",1029.99,41657
"Intel Core i9-12900K",119.99,41474
"Intel Xeon Gold 6354 @ 3.00GHz",2416.35,41445
"Apple M1 Ultra 20 Core",NA,41175
"Intel Core Ultra 5 245K",328.99,41148
"Intel Core i9-12900KF",289.99,41125
"Apple M3 Max 16 Core",NA,40941
"Intel Xeon W-3275 @ 2.50GHz",4894,40931
"Intel Xeon Platinum 8275CL @ 3.00GHz",NA,40794
"Intel Xeon Gold 6416H",1444,40606
"AMD Ryzen Threadripper PRO 5945WX",NA,40568
"AMD Ryzen Threadripper PRO 3955WX",1150,40299
"Intel Xeon Gold 6258R @ 2.70GHz",3578.31,40252
"AMD EPYC 7F52",1705.52,40251
"AMD EPYC 7352",498.95,40096
"Intel Xeon W-3275M @ 2.50GHz",7453,39834
"Intel Core i9-14900T",549,39300
"Intel Xeon W-3335 @ 3.40GHz",1299,39293
"Intel Core i5-14600KF",229,39273
"AMD Ryzen 9 5900X",260.97,39114
"AMD EPYC 7313",906.58,39091
"Intel Core i5-14600K",259.99,39015
"Intel Core i7-13700F",297.6,38895
"AMD Ryzen 9 3950X",449.99,38748
"Intel Xeon Platinum 8180 @ 2.50GHz",4900,38259
"Intel Xeon Gold 6426Y",1517,38159
"AMD EPYC 7551P",199.95,38126
"Intel Core i7-13850HX",428,38024
"Intel Core i5-13600K",219.99,37944
"Intel Xeon w5-2455X",1140.49,37810
"Intel Core i5-13600KF",210.46,37809
"Intel Xeon Gold 6346 @ 3.10GHz",2098.95,37665
"Intel Xeon Gold 5320 @ 2.20GHz",1974.99,37558
"Intel Xeon Gold 6238R @ 2.20GHz",1647,37511
"AMD Ryzen 7 9700X",324.74,37374
"Intel Core i7-14700HX",495,37350
"Intel Xeon W-3175X @ 3.10GHz",3039.28,37167
"Intel Core i7-13700",319.99,37024
"Intel Xeon w5-3425",1189,36867
"Intel Core i7-14650HX",495,36680
"Apple M3 Max 14 Core",NA,36547
"AMD EPYC 8124P",NA,36470
"Intel Core i9-12900F",299.71,36440
"Intel Xeon Gold 6330N @ 2.20GHz",1935.44,36360
"AMD Ryzen 7 7840HX",NA,36191
"Intel Xeon Gold 6248R @ 3.00GHz",2047,36186
"AMD EPYC 4364P",NA,36124
"AMD Ryzen 7 7700X",269.99,36007
"Intel Xeon Gold 5416S",944,35976
"Intel Xeon Platinum 8273CL @ 2.20GHz",NA,35769
"Intel Xeon Gold 6326 @ 2.90GHz",1378.16,35270
"AMD Ryzen AI 9 HX 370",NA,35098
"Intel Core i9-12900TE",544,35057
"Intel Xeon w5-3433",NA,34849
"Intel Core i7-13700E",390,34728
"AMD Ryzen 7 PRO 7745",NA,34652
"ARM Neoverse-N1 80 Core 3000 MHz",NA,34639
"AMD Ryzen 7 7700",280,34618
"Intel Core i7-12700K",409,34596
"AMD Ryzen 9 PRO 5945",NA,34573
"Intel Xeon Gold 6268CL @ 2.80GHz",NA,34558
"Intel Xeon Platinum 8268 @ 2.90GHz",6005.98,34483
"AMD EPYC 4344P",370.99,34474
"AMD Ryzen 9 5900",NA,34405
"Intel Core i7-12700KF",203.99,34329
"Intel Core i9-12900",411.99,34285
"Intel Xeon Gold 6242R @ 3.10GHz",1964.35,34282
"AMD Ryzen 7 7800X3D",449,34274
"Intel Xeon Silver 4510",563,34170
"AMD EPYC 7601",329.95,34079
"Intel Core i9-12900HX",606,34054
"Intel Core i9-13900E",554,34049
"Intel Xeon Platinum 8260M @ 2.30GHz",7705,33970
"Intel Xeon Gold 6338 @ 2.00GHz",1599.99,33814
"Intel Xeon W-3265M @ 2.70GHz",6353,33800
"Intel Xeon D-2799 @ 2.40GHz",1933,33792
"Intel Core i5-14600",255,33689
"Intel Core i7-13700HX",485,33621
"Intel Xeon Gold 6230R @ 2.10GHz",1047,33608
"AMD Ryzen Threadripper PRO 3945WX",NA,33535
"Intel Xeon Gold 6240R @ 2.40GHz",1550,33353
"Intel Xeon Gold 5318Y @ 2.10GHz",1253.68,33283
"AMD EPYC 7302",786.9,33106
"Intel Xeon Platinum 8168 @ 2.70GHz",1498.95,33099
"Intel Xeon Gold 6278C @ 2.60GHz",NA,32835
"Intel Core i9-10980XE @ 3.00GHz",729,32787
"Intel Xeon Platinum 8280 @ 2.70GHz",2600.1,32781
"Intel Xeon Gold 5220R @ 2.20GHz",1290,32765
"AMD Ryzen 7 7745HX",NA,32707
"AMD Ryzen 9 3900XT",239,32670
"AMD EPYC 7302P",799,32626
"AMD Ryzen 9 3900X",199.97,32621
"Intel Core i9-12950HX",590,32343
"Intel Core i5-14500",239.99,32277
"AMD Ryzen Threadripper 2990WX",2698.95,32193
"Intel Xeon w5-2445",839,32129
"Intel Core i7-12800HX",457,32122
"Intel Core i5-13600",255,32038
"Intel Core i9-9980XE @ 3.00GHz",699.96,31979
"AMD Ryzen 7 PRO 8700G",NA,31897
"Intel Core i5-13500",243.47,31860
"AMD Ryzen 7 8700G",279,31820
"Intel Xeon Gold 5320H @ 2.40GHz",1555,31718
"AMD Ryzen 9 PRO 3900",NA,31616
"Intel Core i9-13900HK",697,31536
"Intel Xeon Gold 6254 @ 3.10GHz",1498.95,31513
"Intel Core i7-14700T",384,31497
"Intel Core i7-13650HX",485,31380
"Intel Xeon Silver 4316 @ 2.30GHz",899.95,31341
"Intel Xeon Platinum 8259CL @ 2.50GHz",NA,31142
"AMD EPYC 7371",609.99,31094
"AMD Ryzen 9 PRO 8945HS",NA,30951
"Intel Xeon W-3245 @ 3.20GHz",2683.99,30933
"AMD Ryzen 7 8700F",219.99,30904
"AMD Ryzen 9 3900",504.05,30795
"Intel Core i7-12850HX",428,30785
"Intel Core i7-12700",252.74,30769
"Intel Xeon W-2295 @ 3.00GHz",1567.67,30735
"Intel Core i7-12700F",234.99,30683
"AMD Ryzen Threadripper 2970WX",850,30653
"Intel Xeon Platinum 8171M @ 2.60GHz",NA,30632
"AMD EPYC Embedded 7292P",NA,30542
"Intel Xeon Gold 6246R @ 3.40GHz",1850.03,30468
"Intel Core i5-13500HX",326,30444
"AMD Ryzen 9 7940HS",NA,30370
"Intel Xeon Platinum 8260 @ 2.40GHz",2051.94,30347
"AMD EPYC 7282",140,30321
"Intel Core i9-9960X @ 3.10GHz",468.59,30254
"Intel Core i9-9990XE @ 4.00GHz",2163,30162
"Intel Core i9-13905H",697,30155
"Intel Core i9-7980XE @ 2.60GHz",899,30112
"Intel Xeon W-3265 @ 2.70GHz",4551.37,30105
"AMD Ryzen 5 9600X",249,30087
"Intel Core i9-12900T",489,30056
"Intel Xeon Platinum 8270 @ 2.70GHz",4021.86,29986
"AMD Ryzen 9 8945H",NA,29965
"ARM Neoverse-N1 96 Core 2800 MHz",NA,29890
"AMD Ryzen 7 5800XT",219.99,29849
"Intel Xeon Gold 6248 @ 2.50GHz",479,29831
"Intel Xeon E-2478",556,29827
"Intel Core i7-12800HE",506,29805
"AMD Ryzen Threadripper 2950X",856.62,29450
"Intel Core Ultra 9 185H",NA,29426
"Intel Core i7-12700E",344,29384
"AMD Ryzen 9 8945HS",NA,29371
"Intel Xeon Gold 5318H @ 2.50GHz",1273,29301
"AMD Ryzen AI 9 365",NA,29225
"AMD Ryzen 7 PRO 8845HS",NA,29199
"AMD Ryzen 7 8745H",NA,29171
"Intel Xeon E-2488",606,29060
"Intel Xeon Gold 6148 @ 2.40GHz",290,29009
"Intel Xeon Silver 4314 @ 2.40GHz",743.13,28954
"AMD Ryzen 7 8845HS",NA,28928
"Intel Core i9-7960X @ 2.80GHz",464.98,28923
"Intel Xeon Gold 6210U @ 2.50GHz",1167.44,28915
"AMD Ryzen 7 7840HS",NA,28902
"Intel Xeon Silver 4410T",624,28859
"Intel Xeon Platinum 8160 @ 2.10GHz",1495,28825
"Intel Core i9-13900H",617,28755
"Intel Xeon Gold 6238 @ 2.10GHz",739.89,28668
"Intel Core i5-14490F",NA,28662
"AMD Ryzen 9 7940H",NA,28660
"Intel Xeon Gold 6154 @ 3.00GHz",1081.99,28632
"AMD EPYC 7303",604,28572
"Intel Xeon Gold 6253CL @ 3.10GHz",NA,28549
"AMD EPYC 7401P",2499.99,28546
"AMD Ryzen 5 7600X",199.99,28470
"Intel Xeon D-2795NT @ 2.00GHz",2228,28463
"AMD Ryzen 7 7840H",NA,28390
"Intel Xeon Gold 6240 @ 2.60GHz",655.15,28369
"AMD Ryzen 7 5800X3D",449,28300
"AMD Ryzen 9 PRO 7940HS",NA,28187
"Intel Xeon Platinum 8252C @ 3.80GHz",NA,28147
"Intel Xeon w5-3423",1189,28117
"Intel Xeon W-2191B @ 2.30GHz",NA,28068
"ARM Neoverse-N1 64 Core 0 MHz",NA,28064
"Intel Core i5-13500E",235,28036
"Intel Xeon Platinum 8173M @ 2.00GHz",NA,28025
"Intel Xeon W-2195 @ 2.30GHz",1983.82,28005
"Intel Core i9-9940X @ 3.30GHz",928.97,27975
"Intel Core i9-12900H",617,27953
"Intel Core i5-12600KF",149.99,27908
"Intel Core i9-10940X @ 3.30GHz",720,27894
